epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8203,1.57641,2.45688,1.23621,0.92463,0.37955,0.41239,0.23824,1.31759,1.99384,1.13097,0.000413075,0.000413075,0.000413075
2,19.4964,1.21398,0.97188,1.00287,0.92772,0.45519,0.45525,0.2874,1.18224,0.79839,0.99672,0.000827491,0.000827491,0.000827491
3,28.123,1.14218,0.72795,0.98497,0.94215,0.45003,0.46661,0.29156,1.14663,0.70159,0.98922,0.00123293,0.00123293,0.00123293
4,36.4929,1.12068,0.66814,0.98156,0.93402,0.44207,0.46664,0.28456,1.18054,0.69612,1.01018,0.00121972,0.00121972,0.00121972
5,44.9734,1.09679,0.62415,0.97702,0.9334,0.44768,0.48478,0.30807,1.09951,0.63327,0.98048,0.00119651,0.00119651,0.00119651
6,53.497,1.0724,0.59815,0.97063,0.83658,0.512,0.55986,0.36545,1.0871,0.55486,0.98643,0.0011671,0.0011671,0.0011671
7,61.7785,1.04402,0.5634,0.96361,0.80719,0.58419,0.59247,0.40292,1.02603,0.5298,0.96817,0.00113183,0.00113183,0.00113183
8,69.8952,1.03521,0.54028,0.96011,0.89281,0.609,0.68253,0.4715,1.00905,0.47086,0.95804,0.00109107,0.00109107,0.00109107
9,78.3585,1.01068,0.5171,0.9505,0.88665,0.64104,0.73883,0.52369,0.98973,0.45731,0.95731,0.00104527,0.00104527,0.00104527
10,86.4196,0.99908,0.50167,0.94466,0.66599,0.74077,0.75362,0.54058,0.97183,0.44407,0.94809,0.000994942,0.000994942,0.000994942
11,94.6256,0.97444,0.48959,0.94348,0.72296,0.76743,0.79129,0.57438,0.94252,0.44208,0.94159,0.000940625,0.000940625,0.000940625
12,102.89,0.96746,0.48513,0.94071,0.75458,0.82197,0.82349,0.6117,0.90612,0.42348,0.93102,0.000882918,0.000882918,0.000882918
13,110.879,0.94361,0.46582,0.93268,0.80506,0.75553,0.80841,0.60055,0.89648,0.41293,0.9264,0.000822454,0.000822454,0.000822454
14,119.083,0.91503,0.4525,0.92499,0.83205,0.88992,0.92332,0.70809,0.87691,0.3945,0.92076,0.000759895,0.000759895,0.000759895
15,127.273,0.88731,0.44071,0.91735,0.90275,0.91818,0.95751,0.74585,0.81501,0.38749,0.90241,0.000695927,0.000695927,0.000695927
16,135.433,0.87565,0.43505,0.91747,0.94233,0.89345,0.95625,0.75981,0.80065,0.36901,0.89995,0.00063125,0.00063125,0.00063125
17,143.571,0.85074,0.42538,0.91093,0.94951,0.89227,0.96335,0.77574,0.75754,0.35954,0.88581,0.000566573,0.000566573,0.000566573
18,151.648,0.84264,0.42119,0.90488,0.95188,0.93255,0.9716,0.78339,0.74829,0.35972,0.8821,0.000502605,0.000502605,0.000502605
19,159.959,0.82561,0.41384,0.90408,0.95087,0.92432,0.97452,0.79623,0.72447,0.34213,0.87631,0.000440046,0.000440046,0.000440046
20,168.486,0.8049,0.40456,0.89352,0.96073,0.94249,0.98041,0.80614,0.71323,0.3412,0.87292,0.000379582,0.000379582,0.000379582
21,187.893,0.75265,0.39256,0.90043,0.97725,0.94418,0.98107,0.80545,0.69324,0.33202,0.8669,0.000321875,0.000321875,0.000321875
22,195.666,0.73375,0.3774,0.89009,0.97307,0.9522,0.98339,0.81583,0.65873,0.3224,0.85667,0.000267558,0.000267558,0.000267558
23,203.185,0.69597,0.36196,0.88066,0.96922,0.95133,0.98426,0.82423,0.63367,0.31389,0.85104,0.000217225,0.000217225,0.000217225
24,210.89,0.68528,0.35841,0.87853,0.97391,0.94429,0.98539,0.83171,0.61517,0.30742,0.84712,0.000171429,0.000171429,0.000171429
25,218.327,0.67138,0.35219,0.87425,0.98087,0.94864,0.98736,0.8387,0.60964,0.30162,0.84504,0.000130671,0.000130671,0.000130671
26,226.296,0.65637,0.34646,0.87328,0.97759,0.95971,0.98798,0.8447,0.58933,0.29757,0.84053,9.53968e-05,9.53968e-05,9.53968e-05
27,234.381,0.64735,0.34242,0.866,0.98197,0.95539,0.98873,0.85174,0.57627,0.29246,0.83782,6.59937e-05,6.59937e-05,6.59937e-05
28,241.926,0.63946,0.33987,0.86844,0.96386,0.96602,0.98895,0.8501,0.57393,0.29039,0.83717,4.27838e-05,4.27838e-05,4.27838e-05
29,249.791,0.63465,0.3381,0.86585,0.96594,0.96603,0.9889,0.85643,0.56433,0.28805,0.83503,2.60212e-05,2.60212e-05,2.60212e-05
30,257.967,0.6396,0.33992,0.86661,0.971,0.95807,0.98883,0.85554,0.56298,0.28827,0.83466,1.58896e-05,1.58896e-05,1.58896e-05
